Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
Tavon Austin,STL,24,WR,15,8,36,224,2,11,19,6.2,14.9,5
Randall Cobb*,GNB,24,WR,16,16,11,37,0,1,12,3.4,2.3,4
Cordarrelle Patterson,MIN,23,WR,16,7,10,117,1,4,67,11.7,7.3,1
Emmanuel Sanders *,DEN,27,WR,16,16,8,44,0,3,13,5.5,2.8,1
Mohamed Sanu,CIN,25,WR,16,13,7,51,0,2,26,7.3,3.2,0
Alshon Jeffery,CHI,24,WR,16,16,6,33,0,2,12,5.5,2.1,1
Golden Tate*,DET,26,WR,16,16,5,30,0,1,13,6.0,1.9,1
Antonio Brown *+,PIT,26,WR,16,16,4,13,0,0,9,3.3,0.8,2
DeSean Jackson,WAS,28,WR,15,13,4,7,0,1,9,1.8,0.5,0
Markus Wheaton,PIT,23,WR,16,11,4,19,0,1,12,4.8,1.2,0
Kendall Wright,TEN,25,WR,14,11,4,54,0,2,38,13.5,3.9,1
Andrew Hawkins,CLE,28,WR,15,15,3,15,0,0,8,5.0,1.0,0
Marqise Lee,JAX,23,WR,13,8,3,9,0,1,5,3.0,0.7,0
Eddie Royal,SDG,28,WR,16,11,3,14,0,1,15,4.7,0.9,1
Kenny Britt,STL,26,WR,16,13,2,14,0,1,12,7.0,0.9,0
A.J. Green*,CIN,26,WR,13,13,2,2,0,0,5,1.0,0.2,3
Virgil Green,DEN,26,TE,13,9,2,3,0,0,3,1.5,0.2,0
Jermaine Kearse,SEA,24,WR,15,14,2,15,0,1,11,7.5,1.0,0
Josh Morgan,CHI,29,WR,14,7,2,30,0,1,21,15.0,2.1,0
Jeremy Ross,DET,26,WR,16,13,2,-1,0,0,4,-0.5,-0.1,5
Sammy Watkins,BUF,21,WR,16,16,2,8,0,1,5,4.0,0.5,1
Doug Baldwin,SEA,26,WR,16,16,1,8,0,0,8,8.0,0.5,1
Anquan Boldin,SFO,34,WR,16,16,1,4,0,0,4,4.0,0.3,0
Michael Crabtree,SFO,27,WR,16,16,1,4,0,0,4,4.0,0.3,0
Vernon Davis,SFO,30,TE,14,14,1,4,0,0,4,4.0,0.3,0
Ryan Hewitt,CIN,23,TE,16,11,1,0,0,0,0,0.0,0.0,0
Julio Jones *,ATL,25,WR,15,15,1,1,0,1,1,1.0,0.1,2
